Year,Month,Day,Date,Site,start_time,end_time,Species,n,Family,Notes,lat,lon
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Erynnis funeralis,4,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Heliopetes ericetorum,2,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Junonia coenia,4,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Papilio rutulus,2,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Papilio zelicaon,3,Papilionoidea,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Phoebis sennae,5,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Pieris rapae,3,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Pyrgus albsecens,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Vanessa cardui,12,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,4,2015-04-04,Big Sycamore Cyn,13:00,14:55,Vanessa annabella,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,acmon/lupini,7,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Anthocharis sara,9,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Brephidium exile,10,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Colias eurytheme,7,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Colias harfordi,2,Pieridae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Danaus plexippus,1,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Erynnis funeralis,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Junonia coenia,7,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Leptotes marina,7,Lyceanidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Nymphalis antiopa,3,Nymphalidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Ochlodes agricola,1,Hesperiidae,NA,34.07977740135135,-119.01279468175676
2015,April,28,2015-04-28,Big Sycamore Cyn,11:45,13:35,Papilio rutulus,1,Papilionoidea,NA,34.07977740135135,-119.01279468175676
